Komoditas,2018,2019,2020,2021,2022
KAIN TENUNAN KHUSUS,48.8,46.6,32.8,43.9,41.2
PRODUK HEWANI,20.9,21.9,24.1,31.2,37.4
BUKU DAN BARANG CETAKAN,35.2,32.5,37.1,58.5,33.5
"LONCENG, ARLOJI DAN BAGIANNYA",20.7,21.5,30.4,31.1,28.9
LOKOMOTIF DAN PERALATAN  KERETA API,18.5,99.7,94.9,24,22.5
"POHON HIDUP, DAN BUNGA POTONG",18.6,17.8,18.5,24.2,22.3
BARANG KIRIMAN,48,74.4,49.9,14.2,21.5
DAGING HEWAN,16,17.1,14.2,15.7,19.9
TIMAH HITAM,22.6,21.4,9.6,10.8,13.3
SERAT TEKSTIL DAN BENANG KERTAS,12.2,14.2,11.2,12.3,8.4
BAHAN PELEDAK,11,8.5,8.9,8.4,7.3
HASIL KARYA SENI,5.6,5,6.4,6.7,6
SENJATA AMUNISI,0.8,0.7,0.3,1.4,3.3
PAYUNG,1.8,2,1.6,2.1,2.5
BARANG-BARANG FOTOGRAFI/SINEMATOGRAFI,1.2,1.1,1.5,1.2,1.6
KULIT BERBULU,0.3,0.5,0.3,0.5,1.4
"WOL, BULU HEWAN",0.7,1,0.8,0.8,0.7
SUTERA,0.7,1,0.2,0.1,0.2
GABUS DAN BARANG-BARANG GABUS,0.2,0.3,0.2,0,0.2
KOMPONEN KENDARAAN,0,0,0,0,0.1
